Form,Lemma,Part of Speech,Case,Number,Tense,Mood,Voice,Relation,Sentence ID,Word ID,Document URN
ἀγκύλα,ἀγκύλος,adjective,accusative,plural,,,,ATR,1292,659527,0001-001
ἀγκύλον,ἀγκύλος,adjective,accusative,singular,,,,ATR,1539,662737,0001-001
ἀγκύλον,ἀγκύλος,adjective,accusative,singular,,,,ATR,1216,618906,0005-001
ἀγκύλον,ἀγκύλος,adjective,accusative,singular,,,,ATR,134,16685523,0007-005
ἀγκύλα,ἀγκύλος,adjective,accusative,plural,,,,ATR,1435,9223609,0012-001
ἀγκύλον,ἀγκύλος,adjective,accusative,singular,,,,ATR,1836,9229550,0012-001
ἀγκύλα,ἀγκύλος,adjective,accusative,plural,,,,ATR,1977,9231810,0012-001
ἀγκύλα,ἀγκύλος,adjective,accusative,plural,,,,ATR,5854,9420470,0012-002
ἀγκύλαις,ἀγκύλος,adjective,dative,plural,,,,ATR,197,79647,0019-002
ἀγκύλον,ἀγκύλος,adjective,accusative,singular,,,,ATR,457,15825825,0023-001
ἀγκύλον,ἀγκύλος,adjective,accusative,singular,,,,ATR,740,15830884,0023-001
ἀγκύλοι,ἀγκύλος,adjective,nominative,plural,,,,ATR,1330,15841283,0023-001
ἀγκύλα,ἀγκύλος,adjective,accusative,plural,,,,ATR,1347,15841601,0023-001
ἀγκύλα,ἀγκύλος,adjective,accusative,plural,,,,ATR,264,22039581,0024-001
ἀγκύλας,ἀγκύλος,adjective,accusative,plural,,,,OCOMP,229,9195234,0032-014
ἀγκύλῳ,ἀγκύλος,adjective,dative,singular,,,,ATR,4,491398,0033-002
ἀγκύλον,ἀγκύλος,adjective,accusative,singular,,,,OBJ,14,14187041,0062-033
ἀγκύλον,ἀγκύλος,adjective,accusative,singular,,,,ATR,43,14208159,0062-037
ἀγκύλον,ἀγκύλος,adjective,accusative,singular,,,,OBJ,146,14318679,0062-063
ἀγκύλον,ἀγκύλος,adjective,accusative,singular,,,,ATR,56,14358112,0062-068
ἀγκύλως,ἀγκύλος,adverb,,,,,,CO,159,3224155,0081-005
ἀγκύλῳ,ἀγκύλος,adjective,dative,singular,,,,CO,72,3257343,0081-009
ἀγκυλωτέρα,ἀγκύλος,adjective,nominative,dual,,,,PNOM,271,3268418,0081-010
ἀγκύλως,ἀγκύλος,adverb,,,,,,ADV,375,3270706,0081-010
ἀγκύλως,ἀγκύλος,adverb,,,,,,ADV,404,3271186,0081-010
ἀγκύλα,ἀγκύλος,adjective,accusative,plural,,,,CO,445,3272157,0081-010
ἀγκύλης,ἀγκύλος,adjective,genitive,singular,,,,ATR,67,713676,0341-002
ἀγκύλοι,ἀγκύλος,adjective,nominative,plural,,,,CO,4750,18136032,0545-001
ἀγκύλη,ἀγκύλος,adjective,nominative,singular,,,,SBJ,236,4358003,0559-002
ἀγκύλης,ἀγκύλος,adjective,genitive,singular,,,,CO,103,4692718,0627-022
ἀγκύλος,ἀγκύλος,adjective,nominative,singular,,,,ATR,8,10008738,0719-001
ἀγκύλον,ἀγκύλος,adjective,accusative,singular,,,,ATR,8201,19937746,2042-001
